training_size, sample_size, accuracy
450000,1000.0,0.81
450000,1000.0,0.772
450000,1000.0,0.794
450000,1000.0,0.807
450000,1000.0,0.787
460000,1000.0,0.797
460000,1000.0,0.82
460000,1000.0,0.81
460000,1000.0,0.827
460000,1000.0,0.827
460000,1000.0,0.799
460000,1000.0,0.838
460000,1000.0,0.831
460000,1000.0,0.817
460000,1000.0,0.823
470000,1000.0,0.796
470000,1000.0,0.827
470000,1000.0,0.827
470000,1000.0,0.825
470000,1000.0,0.829
470000,1000.0,0.828
470000,1000.0,0.81
470000,1000.0,0.834
470000,1000.0,0.845
470000,1000.0,0.818
480000,1000.0,0.834
480000,1000.0,0.802
480000,1000.0,0.842
480000,1000.0,0.83
480000,1000.0,0.834
480000,1000.0,0.864
480000,1000.0,0.815
480000,1000.0,0.819
480000,1000.0,0.833
480000,1000.0,0.797
490000,1000.0,0.837
490000,1000.0,0.834
490000,1000.0,0.807
490000,1000.0,0.811
490000,1000.0,0.825
490000,1000.0,0.849
490000,1000.0,0.833
490000,1000.0,0.822
490000,1000.0,0.827
490000,1000.0,0.822
500000,1000.0,0.823
500000,1000.0,0.808
500000,1000.0,0.83
500000,1000.0,0.802
500000,1000.0,0.83
500000,1000.0,0.854
500000,1000.0,0.84
500000,1000.0,0.803
500000,1000.0,0.825
500000,1000.0,0.822
510000,1000.0,0.786
510000,1000.0,0.778
510000,1000.0,0.767
510000,1000.0,0.787
510000,1000.0,0.797
510000,1000.0,0.774
510000,1000.0,0.781
510000,1000.0,0.776
510000,1000.0,0.772
510000,1000.0,0.772
520000,1000.0,0.837
520000,1000.0,0.831
520000,1000.0,0.81
520000,1000.0,0.813
520000,1000.0,0.819
520000,1000.0,0.812
520000,1000.0,0.822
520000,1000.0,0.807
520000,1000.0,0.831
520000,1000.0,0.796
530000,1000.0,0.803
530000,1000.0,0.831
530000,1000.0,0.831
530000,1000.0,0.825
530000,1000.0,0.819
530000,1000.0,0.824
530000,1000.0,0.812
530000,1000.0,0.82
530000,1000.0,0.795
530000,1000.0,0.826
540000,1000.0,0.838
540000,1000.0,0.839
540000,1000.0,0.831
540000,1000.0,0.849
540000,1000.0,0.817
540000,1000.0,0.833
540000,1000.0,0.824
540000,1000.0,0.832
540000,1000.0,0.815
540000,1000.0,0.822
550000,1000.0,0.83
550000,1000.0,0.837
550000,1000.0,0.811
550000,1000.0,0.81
550000,1000.0,0.819
550000,1000.0,0.821
550000,1000.0,0.813
550000,1000.0,0.822
550000,1000.0,0.822
550000,1000.0,0.837
560000,1000.0,0.841
560000,1000.0,0.833
560000,1000.0,0.859
560000,1000.0,0.823
560000,1000.0,0.835
560000,1000.0,0.843
560000,1000.0,0.837
560000,1000.0,0.807
560000,1000.0,0.838
560000,1000.0,0.828
570000,1000.0,0.818
570000,1000.0,0.83
570000,1000.0,0.838
570000,1000.0,0.825
570000,1000.0,0.826
570000,1000.0,0.831
570000,1000.0,0.823
570000,1000.0,0.832
570000,1000.0,0.832
570000,1000.0,0.829
580000,1000.0,0.816
580000,1000.0,0.806
580000,1000.0,0.831
580000,1000.0,0.829
580000,1000.0,0.813
580000,1000.0,0.8
580000,1000.0,0.836
580000,1000.0,0.838
580000,1000.0,0.838
580000,1000.0,0.829
590000,1000.0,0.843
590000,1000.0,0.832
590000,1000.0,0.823
590000,1000.0,0.821
590000,1000.0,0.822
590000,1000.0,0.81
590000,1000.0,0.829
590000,1000.0,0.815
590000,1000.0,0.819
590000,1000.0,0.848
600000,1000.0,0.847
600000,1000.0,0.808
600000,1000.0,0.822
600000,1000.0,0.835
600000,1000.0,0.839
600000,1000.0,0.821
600000,1000.0,0.851
600000,1000.0,0.835
600000,1000.0,0.807
600000,1000.0,0.818
610000,1000.0,0.823
610000,1000.0,0.834
610000,1000.0,0.827
610000,1000.0,0.822
610000,1000.0,0.815
610000,1000.0,0.826
610000,1000.0,0.829
610000,1000.0,0.829
610000,1000.0,0.842
610000,1000.0,0.816
620000,1000.0,0.809
620000,1000.0,0.838
620000,1000.0,0.824
620000,1000.0,0.818
620000,1000.0,0.809
620000,1000.0,0.836
620000,1000.0,0.825
620000,1000.0,0.833
620000,1000.0,0.832
620000,1000.0,0.821
630000,1000.0,0.828
630000,1000.0,0.829
630000,1000.0,0.819
630000,1000.0,0.812
630000,1000.0,0.824
630000,1000.0,0.806
630000,1000.0,0.816
630000,1000.0,0.823
630000,1000.0,0.806
630000,1000.0,0.824
640000,1000.0,0.814
640000,1000.0,0.824
640000,1000.0,0.815
640000,1000.0,0.828
640000,1000.0,0.83
640000,1000.0,0.81
640000,1000.0,0.813
640000,1000.0,0.823
640000,1000.0,0.821
640000,1000.0,0.835
650000,1000.0,0.819
650000,1000.0,0.834
650000,1000.0,0.848
650000,1000.0,0.826
650000,1000.0,0.83
650000,1000.0,0.851
650000,1000.0,0.826
650000,1000.0,0.845
650000,1000.0,0.82
650000,1000.0,0.818
660000,1000.0,0.814
660000,1000.0,0.819
660000,1000.0,0.833
660000,1000.0,0.841
660000,1000.0,0.838
660000,1000.0,0.827
660000,1000.0,0.818
660000,1000.0,0.822
660000,1000.0,0.822
660000,1000.0,0.83
670000,1000.0,0.815
670000,1000.0,0.837
670000,1000.0,0.842
670000,1000.0,0.792
670000,1000.0,0.844
670000,1000.0,0.824
670000,1000.0,0.816
670000,1000.0,0.835
670000,1000.0,0.839
670000,1000.0,0.832
680000,1000.0,0.811
680000,1000.0,0.825
680000,1000.0,0.81
680000,1000.0,0.823
680000,1000.0,0.823
680000,1000.0,0.825
680000,1000.0,0.82
680000,1000.0,0.845
680000,1000.0,0.836
680000,1000.0,0.813
690000,1000.0,0.824
690000,1000.0,0.819
690000,1000.0,0.827
690000,1000.0,0.802
690000,1000.0,0.814
690000,1000.0,0.822
690000,1000.0,0.808
690000,1000.0,0.803
690000,1000.0,0.837
690000,1000.0,0.823
700000,1000.0,0.818
700000,1000.0,0.832
700000,1000.0,0.803
700000,1000.0,0.827
700000,1000.0,0.847
700000,1000.0,0.855
700000,1000.0,0.8
700000,1000.0,0.816
700000,1000.0,0.847
700000,1000.0,0.828
710000,1000.0,0.819
710000,1000.0,0.817
710000,1000.0,0.84
710000,1000.0,0.811
710000,1000.0,0.826
710000,1000.0,0.828
710000,1000.0,0.838
710000,1000.0,0.825
710000,1000.0,0.837
710000,1000.0,0.841
720000,1000.0,0.819
720000,1000.0,0.816
720000,1000.0,0.837
720000,1000.0,0.825
720000,1000.0,0.819
720000,1000.0,0.841
720000,1000.0,0.831
720000,1000.0,0.831
720000,1000.0,0.813
720000,1000.0,0.833
730000,1000.0,0.83
730000,1000.0,0.832
730000,1000.0,0.818
730000,1000.0,0.809
730000,1000.0,0.824
730000,1000.0,0.82
730000,1000.0,0.834
730000,1000.0,0.831
730000,1000.0,0.815
730000,1000.0,0.828
740000,1000.0,0.838
740000,1000.0,0.824
740000,1000.0,0.819
740000,1000.0,0.836
740000,1000.0,0.837
740000,1000.0,0.812
740000,1000.0,0.828
740000,1000.0,0.839
740000,1000.0,0.841
740000,1000.0,0.831
750000,1000.0,0.823
750000,1000.0,0.847
750000,1000.0,0.82
750000,1000.0,0.834
750000,1000.0,0.816
750000,1000.0,0.812
750000,1000.0,0.82
750000,1000.0,0.833
750000,1000.0,0.823
750000,1000.0,0.834
760000,1000.0,0.824
760000,1000.0,0.811
760000,1000.0,0.832
760000,1000.0,0.84
760000,1000.0,0.832
760000,1000.0,0.809
760000,1000.0,0.814
760000,1000.0,0.826
760000,1000.0,0.834
760000,1000.0,0.788
770000,1000.0,0.823
770000,1000.0,0.831
770000,1000.0,0.826
770000,1000.0,0.833
770000,1000.0,0.821
770000,1000.0,0.815
770000,1000.0,0.828
770000,1000.0,0.833
770000,1000.0,0.831
770000,1000.0,0.816
780000,1000.0,0.842
780000,1000.0,0.833
780000,1000.0,0.841
780000,1000.0,0.852
780000,1000.0,0.818
780000,1000.0,0.839
780000,1000.0,0.815
780000,1000.0,0.817
780000,1000.0,0.823
780000,1000.0,0.819
790000,1000.0,0.81
790000,1000.0,0.818
790000,1000.0,0.802
790000,1000.0,0.844
790000,1000.0,0.809
790000,1000.0,0.792
790000,1000.0,0.813
790000,1000.0,0.825
790000,1000.0,0.834
790000,1000.0,0.808
800000,1000.0,0.832
800000,1000.0,0.812
800000,1000.0,0.818
800000,1000.0,0.829
800000,1000.0,0.829
800000,1000.0,0.821
800000,1000.0,0.83
800000,1000.0,0.814
800000,1000.0,0.849
800000,1000.0,0.829
810000,1000.0,0.838
810000,1000.0,0.824
810000,1000.0,0.841
810000,1000.0,0.812
810000,1000.0,0.826
810000,1000.0,0.817
810000,1000.0,0.814
810000,1000.0,0.811
810000,1000.0,0.82
810000,1000.0,0.817
820000,1000.0,0.829
820000,1000.0,0.82
820000,1000.0,0.829
820000,1000.0,0.816
820000,1000.0,0.819
820000,1000.0,0.811
820000,1000.0,0.827
820000,1000.0,0.826
820000,1000.0,0.824
820000,1000.0,0.832
830000,1000.0,0.825
830000,1000.0,0.812
830000,1000.0,0.834
830000,1000.0,0.823
830000,1000.0,0.83
830000,1000.0,0.84
830000,1000.0,0.833
830000,1000.0,0.827
830000,1000.0,0.839
830000,1000.0,0.808
840000,1000.0,0.815
840000,1000.0,0.82
840000,1000.0,0.808
840000,1000.0,0.821
840000,1000.0,0.833
840000,1000.0,0.823
840000,1000.0,0.844
840000,1000.0,0.842
840000,1000.0,0.813
840000,1000.0,0.831
850000,1000.0,0.813
850000,1000.0,0.82
850000,1000.0,0.855
850000,1000.0,0.844
850000,1000.0,0.837
850000,1000.0,0.836
850000,1000.0,0.812
850000,1000.0,0.807
850000,1000.0,0.833
850000,1000.0,0.818
860000,1000.0,0.824
860000,1000.0,0.824
860000,1000.0,0.829
860000,1000.0,0.794
860000,1000.0,0.821
860000,1000.0,0.816
860000,1000.0,0.827
860000,1000.0,0.837
860000,1000.0,0.842
860000,1000.0,0.823
870000,1000.0,0.83
870000,1000.0,0.817
870000,1000.0,0.836
870000,1000.0,0.816
870000,1000.0,0.805
870000,1000.0,0.827
870000,1000.0,0.833
870000,1000.0,0.835
870000,1000.0,0.843
870000,1000.0,0.843
880000,1000.0,0.824
880000,1000.0,0.842
880000,1000.0,0.815
880000,1000.0,0.843
880000,1000.0,0.804
880000,1000.0,0.82
880000,1000.0,0.81
880000,1000.0,0.838
880000,1000.0,0.836
880000,1000.0,0.817
890000,1000.0,0.825
890000,1000.0,0.817
890000,1000.0,0.822
890000,1000.0,0.83
890000,1000.0,0.808
890000,1000.0,0.81
890000,1000.0,0.829
890000,1000.0,0.841
890000,1000.0,0.837
890000,1000.0,0.828
900000,1000.0,0.829
900000,1000.0,0.825
900000,1000.0,0.8
900000,1000.0,0.804
900000,1000.0,0.803
900000,1000.0,0.804
900000,1000.0,0.807
900000,1000.0,0.826
900000,1000.0,0.804
900000,1000.0,0.802
910000,1000.0,0.847
910000,1000.0,0.812
910000,1000.0,0.829
910000,1000.0,0.824
910000,1000.0,0.829
910000,1000.0,0.834
910000,1000.0,0.81
910000,1000.0,0.819
910000,1000.0,0.825
910000,1000.0,0.823
920000,1000.0,0.827
920000,1000.0,0.83
920000,1000.0,0.819
920000,1000.0,0.842
920000,1000.0,0.835
920000,1000.0,0.82
920000,1000.0,0.816
920000,1000.0,0.823
920000,1000.0,0.818
920000,1000.0,0.835
930000,1000.0,0.835
930000,1000.0,0.811
930000,1000.0,0.814
930000,1000.0,0.797
930000,1000.0,0.832
930000,1000.0,0.812
930000,1000.0,0.816
930000,1000.0,0.825
930000,1000.0,0.842
930000,1000.0,0.829
940000,1000.0,0.835
940000,1000.0,0.833
940000,1000.0,0.83
940000,1000.0,0.811
940000,1000.0,0.824
940000,1000.0,0.816
940000,1000.0,0.81
940000,1000.0,0.824
940000,1000.0,0.809
940000,1000.0,0.8
950000,1000.0,0.827
950000,1000.0,0.814
950000,1000.0,0.836
950000,1000.0,0.811
950000,1000.0,0.834
950000,1000.0,0.808
950000,1000.0,0.828
950000,1000.0,0.819
950000,1000.0,0.835
950000,1000.0,0.815
960000,1000.0,0.819
960000,1000.0,0.834
960000,1000.0,0.847
960000,1000.0,0.844
960000,1000.0,0.807
960000,1000.0,0.829
960000,1000.0,0.827
960000,1000.0,0.822
960000,1000.0,0.831
960000,1000.0,0.82
970000,1000.0,0.818
970000,1000.0,0.84
970000,1000.0,0.827
970000,1000.0,0.827
970000,1000.0,0.837
970000,1000.0,0.82
970000,1000.0,0.856
970000,1000.0,0.827
970000,1000.0,0.821
970000,1000.0,0.831
980000,1000.0,0.832
980000,1000.0,0.817
980000,1000.0,0.83
980000,1000.0,0.803
980000,1000.0,0.818
980000,1000.0,0.815
980000,1000.0,0.82
980000,1000.0,0.819
980000,1000.0,0.802
980000,1000.0,0.83
990000,1000.0,0.82
990000,1000.0,0.817
990000,1000.0,0.841
990000,1000.0,0.828
990000,1000.0,0.837
990000,1000.0,0.82
990000,1000.0,0.835
990000,1000.0,0.819
990000,1000.0,0.841
990000,1000.0,0.823
1000000,1000.0,0.833
1000000,1000.0,0.824
1000000,1000.0,0.825
1000000,1000.0,0.838
1000000,1000.0,0.822
1000000,1000.0,0.832
1000000,1000.0,0.838
1000000,1000.0,0.813
1000000,1000.0,0.812
1000000,1000.0,0.817
1010000,1000.0,0.813
1010000,1000.0,0.805
1010000,1000.0,0.8
1010000,1000.0,0.794
1010000,1000.0,0.793
1010000,1000.0,0.793
1010000,1000.0,0.806
1010000,1000.0,0.82
1010000,1000.0,0.815
1010000,1000.0,0.824
1020000,1000.0,0.814
1020000,1000.0,0.83
1020000,1000.0,0.824
1020000,1000.0,0.834
1020000,1000.0,0.827
1020000,1000.0,0.805
1020000,1000.0,0.832
1020000,1000.0,0.828
1020000,1000.0,0.822
1020000,1000.0,0.832
1030000,1000.0,0.841
1030000,1000.0,0.815
1030000,1000.0,0.811
1030000,1000.0,0.84
1030000,1000.0,0.832
1030000,1000.0,0.816
1030000,1000.0,0.842
1030000,1000.0,0.824
1030000,1000.0,0.833
1030000,1000.0,0.811
1040000,1000.0,0.812
1040000,1000.0,0.848
1040000,1000.0,0.845
1040000,1000.0,0.829
1040000,1000.0,0.811
1040000,1000.0,0.838
1040000,1000.0,0.826
1040000,1000.0,0.84
1040000,1000.0,0.847
1040000,1000.0,0.79
1050000,1000.0,0.835
1050000,1000.0,0.83
1050000,1000.0,0.839
1050000,1000.0,0.823
1050000,1000.0,0.815
1050000,1000.0,0.82
1050000,1000.0,0.816
1050000,1000.0,0.832
1050000,1000.0,0.824
1050000,1000.0,0.831
1060000,1000.0,0.826
1060000,1000.0,0.823
1060000,1000.0,0.823
1060000,1000.0,0.831
1060000,1000.0,0.823
1060000,1000.0,0.831
1060000,1000.0,0.818
1060000,1000.0,0.804
1060000,1000.0,0.819
1060000,1000.0,0.849
1070000,1000.0,0.828
1070000,1000.0,0.815
1070000,1000.0,0.844
1070000,1000.0,0.827
1070000,1000.0,0.841
1070000,1000.0,0.85
1070000,1000.0,0.821
1070000,1000.0,0.813
1070000,1000.0,0.835
1070000,1000.0,0.841
1080000,1000.0,0.84
1080000,1000.0,0.836
1080000,1000.0,0.81
1080000,1000.0,0.816
1080000,1000.0,0.844
1080000,1000.0,0.831
1080000,1000.0,0.83
1080000,1000.0,0.821
1080000,1000.0,0.826
1080000,1000.0,0.831
1090000,1000.0,0.825
1090000,1000.0,0.823
1090000,1000.0,0.816
1090000,1000.0,0.828
1090000,1000.0,0.817
1090000,1000.0,0.827
1090000,1000.0,0.822
1090000,1000.0,0.814
1090000,1000.0,0.821
1090000,1000.0,0.828
1100000,1000.0,0.819
1100000,1000.0,0.843
1100000,1000.0,0.82
1100000,1000.0,0.832
1100000,1000.0,0.839
1100000,1000.0,0.813
1100000,1000.0,0.848
1100000,1000.0,0.823
1100000,1000.0,0.824
1100000,1000.0,0.813
1110000,1000.0,0.833
1110000,1000.0,0.837
1110000,1000.0,0.828
1110000,1000.0,0.822
1110000,1000.0,0.833
1110000,1000.0,0.813
1110000,1000.0,0.807
1110000,1000.0,0.843
1110000,1000.0,0.829
1110000,1000.0,0.829
1120000,1000.0,0.821
1120000,1000.0,0.814
1120000,1000.0,0.823
1120000,1000.0,0.839
1120000,1000.0,0.835
1120000,1000.0,0.824
1120000,1000.0,0.841
1120000,1000.0,0.835
1120000,1000.0,0.815
1120000,1000.0,0.831
1130000,1000.0,0.813
1130000,1000.0,0.814
1130000,1000.0,0.802
1130000,1000.0,0.831
1130000,1000.0,0.827
1130000,1000.0,0.816
1130000,1000.0,0.814
1130000,1000.0,0.827
1130000,1000.0,0.838
1130000,1000.0,0.825
1140000,1000.0,0.851
1140000,1000.0,0.816
1140000,1000.0,0.838
1140000,1000.0,0.833
1140000,1000.0,0.831
1140000,1000.0,0.786
1140000,1000.0,0.821
